"Data","Produto","Categoria","Região","Unidades Vendidas","Preço Unitário","Receita","Custo","Lucro"
"2023-03-21 00:00:00","Eletrônicos","Celular","Sul","98"," $ 2,500.00 "," $ 245,000.00 "," $ 186,200.00 "," $ 58,800.00 "
"2023-03-22 00:00:00","Casa","Móveis","Sul","93"," $ 1,000.00 "," $ 93,000.00 "," $ 62,310.00 "," $ 30,690.00 "
"2023-03-23 00:00:00","Eletrônicos","Celular","Sul","64"," $ 2,500.00 "," $ 160,000.00 "," $ 97,600.00 "," $ 62,400.00 "
"2023-03-24 00:00:00","Eletrônicos","TV","Sul","75"," $ 3,500.00 "," $ 262,500.00 "," $ 207,375.00 "," $ 55,125.00 "
"2023-03-25 00:00:00","Eletrônicos","TV","Oeste","80"," $ 3,500.00 "," $ 280,000.00 "," $ 184,800.00 "," $ 95,200.00 "
"2023-03-26 00:00:00","Eletrônicos","TV","Norte","10"," $ 3,500.00 "," $ 35,000.00 "," $ 27,300.00 "," $ 7,700.00 "
"2023-03-27 00:00:00","Eletrônicos","TV","Sul","90"," $ 3,500.00 "," $ 315,000.00 "," $ 236,250.00 "," $ 78,750.00 "
"2023-03-28 00:00:00","Eletrônicos","TV","Leste","61"," $ 3,500.00 "," $ 213,500.00 "," $ 160,125.00 "," $ 53,375.00 "
"2023-03-29 00:00:00","Eletrônicos","Celular","Norte","43"," $ 2,500.00 "," $ 107,500.00 "," $ 68,800.00 "," $ 38,700.00 "
"2023-03-30 00:00:00","Moda","Roupas","Norte","16"," $ 500.00 "," $ 8,000.00 "," $ 5,760.00 "," $ 2,240.00 "
"2023-03-31 00:00:00","Eletrônicos","Celular","Norte","26"," $ 2,500.00 "," $ 65,000.00 "," $ 50,050.00 "," $ 14,950.00 "
"2023-04-01 00:00:00","Casa","Móveis","Norte","52"," $ 1,000.00 "," $ 52,000.00 "," $ 37,960.00 "," $ 14,040.00 "
"2023-04-02 00:00:00","Eletrônicos","TV","Norte","13"," $ 3,500.00 "," $ 45,500.00 "," $ 30,485.00 "," $ 15,015.00 "
"2023-04-03 00:00:00","Eletrônicos","Celular","Leste","72"," $ 2,500.00 "," $ 180,000.00 "," $ 115,200.00 "," $ 64,800.00 "
"2023-04-04 00:00:00","Moda","Roupas","Leste","43"," $ 500.00 "," $ 21,500.00 "," $ 15,695.00 "," $ 5,805.00 "
"2023-04-05 00:00:00","Casa","Móveis","Oeste","86"," $ 1,000.00 "," $ 86,000.00 "," $ 58,480.00 "," $ 27,520.00 "
"2023-04-06 00:00:00","Casa","Móveis","Leste","69"," $ 1,000.00 "," $ 69,000.00 "," $ 51,060.00 "," $ 17,940.00 "
"2023-04-07 00:00:00","Casa","Móveis","Leste","18"," $ 1,000.00 "," $ 18,000.00 "," $ 11,880.00 "," $ 6,120.00 "
"2023-04-08 00:00:00","Eletrônicos","Celular","Leste","67"," $ 2,500.00 "," $ 167,500.00 "," $ 117,250.00 "," $ 50,250.00 "
"2023-04-09 00:00:00","Eletrônicos","Celular","Leste","69"," $ 2,500.00 "," $ 172,500.00 "," $ 119,025.00 "," $ 53,475.00 "
"2023-04-10 00:00:00","Eletrônicos","TV","Sul","64"," $ 3,500.00 "," $ 224,000.00 "," $ 170,240.00 "," $ 53,760.00 "
"2023-04-11 00:00:00","Eletrônicos","TV","Sul","38"," $ 3,500.00 "," $ 133,000.00 "," $ 106,400.00 "," $ 26,600.00 "
"2023-04-12 00:00:00","Moda","Roupas","Leste","5"," $ 500.00 "," $ 2,500.00 "," $ 1,650.00 "," $ 850.00 "
"2023-04-13 00:00:00","Moda","Roupas","Norte","65"," $ 500.00 "," $ 32,500.00 "," $ 24,050.00 "," $ 8,450.00 "
"2023-04-14 00:00:00","Eletrônicos","TV","Leste","77"," $ 3,500.00 "," $ 269,500.00 "," $ 169,785.00 "," $ 99,715.00 "
"2023-04-15 00:00:00","Moda","Roupas","Oeste","70"," $ 500.00 "," $ 35,000.00 "," $ 28,000.00 "," $ 7,000.00 "
"2023-04-16 00:00:00","Eletrônicos","TV","Leste","63"," $ 3,500.00 "," $ 220,500.00 "," $ 152,145.00 "," $ 68,355.00 "
"2023-04-17 00:00:00","Casa","Móveis","Oeste","10"," $ 1,000.00 "," $ 10,000.00 "," $ 6,200.00 "," $ 3,800.00 "
"2023-04-18 00:00:00","Casa","Móveis","Sul","33"," $ 1,000.00 "," $ 33,000.00 "," $ 20,460.00 "," $ 12,540.00 "
"2023-04-19 00:00:00","Eletrônicos","TV","Norte","53"," $ 3,500.00 "," $ 185,500.00 "," $ 127,995.00 "," $ 57,505.00 "
"2023-04-20 00:00:00","Moda","Roupas","Sul","75"," $ 500.00 "," $ 37,500.00 "," $ 23,625.00 "," $ 13,875.00 "
"2023-04-21 00:00:00","Eletrônicos","Celular","Sul","61"," $ 2,500.00 "," $ 152,500.00 "," $ 112,850.00 "," $ 39,650.00 "
"2023-04-22 00:00:00","Moda","Roupas","Oeste","12"," $ 500.00 "," $ 6,000.00 "," $ 3,720.00 "," $ 2,280.00 "
"2023-04-23 00:00:00","Moda","Roupas","Oeste","97"," $ 500.00 "," $ 48,500.00 "," $ 34,920.00 "," $ 13,580.00 "
"2023-04-24 00:00:00","Eletrônicos","TV","Leste","39"," $ 3,500.00 "," $ 136,500.00 "," $ 99,645.00 "," $ 36,855.00 "
"2023-04-25 00:00:00","Moda","Roupas","Norte","89"," $ 500.00 "," $ 44,500.00 "," $ 29,370.00 "," $ 15,130.00 "
"2023-04-26 00:00:00","Eletrônicos","Celular","Norte","10"," $ 2,500.00 "," $ 25,000.00 "," $ 19,000.00 "," $ 6,000.00 "
"2023-04-27 00:00:00","Eletrônicos","TV","Leste","18"," $ 3,500.00 "," $ 63,000.00 "," $ 43,470.00 "," $ 19,530.00 "
"2023-04-28 00:00:00","Casa","Móveis","Sul","13"," $ 1,000.00 "," $ 13,000.00 "," $ 8,450.00 "," $ 4,550.00 "
"2023-04-29 00:00:00","Eletrônicos","TV","Oeste","5"," $ 3,500.00 "," $ 17,500.00 "," $ 12,075.00 "," $ 5,425.00 "
"2023-04-30 00:00:00","Moda","Roupas","Leste","33"," $ 500.00 "," $ 16,500.00 "," $ 12,540.00 "," $ 3,960.00 "
"2023-05-01 00:00:00","Moda","Roupas","Norte","94"," $ 500.00 "," $ 47,000.00 "," $ 29,140.00 "," $ 17,860.00 "
"2023-05-02 00:00:00","Moda","Roupas","Oeste","86"," $ 500.00 "," $ 43,000.00 "," $ 32,680.00 "," $ 10,320.00 "
"2023-05-03 00:00:00","Eletrônicos","Celular","Leste","25"," $ 2,500.00 "," $ 62,500.00 "," $ 39,375.00 "," $ 23,125.00 "
"2023-05-04 00:00:00","Eletrônicos","TV","Norte","32"," $ 3,500.00 "," $ 112,000.00 "," $ 78,400.00 "," $ 33,600.00 "
"2023-05-05 00:00:00","Eletrônicos","TV","Oeste","98"," $ 3,500.00 "," $ 343,000.00 "," $ 257,250.00 "," $ 85,750.00 "
"2023-05-06 00:00:00","Eletrônicos","Celular","Oeste","65"," $ 2,500.00 "," $ 162,500.00 "," $ 126,750.00 "," $ 35,750.00 "
"2023-05-07 00:00:00","Casa","Móveis","Leste","92"," $ 1,000.00 "," $ 92,000.00 "," $ 70,840.00 "," $ 21,160.00 "
"2023-05-08 00:00:00","Moda","Roupas","Oeste","76"," $ 500.00 "," $ 38,000.00 "," $ 26,220.00 "," $ 11,780.00 "
"2023-05-09 00:00:00","Eletrônicos","Celular","Leste","90"," $ 2,500.00 "," $ 225,000.00 "," $ 180,000.00 "," $ 45,000.00 "
"2023-05-10 00:00:00","Moda","Roupas","Oeste","45"," $ 500.00 "," $ 22,500.00 "," $ 17,325.00 "," $ 5,175.00 "
"2023-05-11 00:00:00","Moda","Roupas","Norte","31"," $ 500.00 "," $ 15,500.00 "," $ 9,765.00 "," $ 5,735.00 "
"2023-05-12 00:00:00","Casa","Móveis","Sul","98"," $ 1,000.00 "," $ 98,000.00 "," $ 77,420.00 "," $ 20,580.00 "
"2023-05-13 00:00:00","Casa","Móveis","Oeste","11"," $ 1,000.00 "," $ 11,000.00 "," $ 8,030.00 "," $ 2,970.00 "
"2023-05-14 00:00:00","Moda","Roupas","Sul","43"," $ 500.00 "," $ 21,500.00 "," $ 13,330.00 "," $ 8,170.00 "
"2023-05-15 00:00:00","Moda","Roupas","Sul","54"," $ 500.00 "," $ 27,000.00 "," $ 19,440.00 "," $ 7,560.00 "
"2023-05-16 00:00:00","Casa","Móveis","Oeste","93"," $ 1,000.00 "," $ 93,000.00 "," $ 59,520.00 "," $ 33,480.00 "
"2023-05-17 00:00:00","Moda","Roupas","Leste","24"," $ 500.00 "," $ 12,000.00 "," $ 9,000.00 "," $ 3,000.00 "
"2023-05-18 00:00:00","Eletrônicos","Celular","Oeste","65"," $ 2,500.00 "," $ 162,500.00 "," $ 100,750.00 "," $ 61,750.00 "
"2023-05-19 00:00:00","Eletrônicos","TV","Norte","95"," $ 3,500.00 "," $ 332,500.00 "," $ 252,700.00 "," $ 79,800.00 "
"2023-05-20 00:00:00","Eletrônicos","TV","Norte","88"," $ 3,500.00 "," $ 308,000.00 "," $ 231,000.00 "," $ 77,000.00 "
"2023-05-21 00:00:00","Eletrônicos","TV","Leste","89"," $ 3,500.00 "," $ 311,500.00 "," $ 190,015.00 "," $ 121,485.00 "
"2023-05-22 00:00:00","Moda","Roupas","Leste","9"," $ 500.00 "," $ 4,500.00 "," $ 3,510.00 "," $ 990.00 "
"2023-05-23 00:00:00","Casa","Móveis","Oeste","65"," $ 1,000.00 "," $ 65,000.00 "," $ 44,850.00 "," $ 20,150.00 "
"2023-05-24 00:00:00","Moda","Roupas","Norte","55"," $ 500.00 "," $ 27,500.00 "," $ 18,700.00 "," $ 8,800.00 "
"2023-05-25 00:00:00","Casa","Móveis","Leste","64"," $ 1,000.00 "," $ 64,000.00 "," $ 39,040.00 "," $ 24,960.00 "
"2023-05-26 00:00:00","Moda","Roupas","Oeste","53"," $ 500.00 "," $ 26,500.00 "," $ 19,080.00 "," $ 7,420.00 "
"2023-05-27 00:00:00","Eletrônicos","Celular","Sul","20"," $ 2,500.00 "," $ 50,000.00 "," $ 34,500.00 "," $ 15,500.00 "
"2023-05-28 00:00:00","Eletrônicos","Celular","Leste","59"," $ 2,500.00 "," $ 147,500.00 "," $ 107,675.00 "," $ 39,825.00 "
"2023-05-29 00:00:00","Casa","Móveis","Sul","84"," $ 1,000.00 "," $ 84,000.00 "," $ 58,800.00 "," $ 25,200.00 "
"2023-05-20 00:00:00","Eletrônicos","TV","Norte","88"," $ 7,000.00 "," $ 616,000.00 "," $ 437,360.00 "," $ 178,640.00 "
"2023-05-21 00:00:00","Eletrônicos","TV","Leste","89"," $ 7,000.00 "," $ 623,000.00 "," $ 448,560.00 "," $ 174,440.00 "
"2023-05-22 00:00:00","Moda","Roupas","Leste","9"," $ 2,000.00 "," $ 18,000.00 "," $ 14,040.00 "," $ 3,960.00 "
"2023-05-23 00:00:00","Casa","Móveis","Oeste","65"," $ 4,000.00 "," $ 260,000.00 "," $ 163,800.00 "," $ 96,200.00 "
"2023-05-24 00:00:00","Moda","Roupas","Norte","55"," $ 2,000.00 "," $ 110,000.00 "," $ 71,500.00 "," $ 38,500.00 "
"2023-05-25 00:00:00","Casa","Móveis","Leste","64"," $ 4,000.00 "," $ 256,000.00 "," $ 186,880.00 "," $ 69,120.00 "
"2023-05-26 00:00:00","Moda","Roupas","Oeste","53"," $ 2,000.00 "," $ 106,000.00 "," $ 76,320.00 "," $ 29,680.00 "
"2023-05-27 00:00:00","Eletrônicos","Celular","Sul","20"," $ 6,500.00 "," $ 130,000.00 "," $ 79,300.00 "," $ 50,700.00 "
"2023-05-28 00:00:00","Eletrônicos","Celular","Leste","59"," $ 6,500.00 "," $ 383,500.00 "," $ 299,130.00 "," $ 84,370.00 "
"2023-05-29 00:00:00","Casa","Móveis","Sul","84"," $ 4,000.00 "," $ 336,000.00 "," $ 268,800.00 "," $ 67,200.00 "
